Category,Project,Organisation,Country
C11. INTERNATIONAL AND REGIONAL COOPERATION,Plan of Action for the Information Society in Latin America and the Caribbean,ECLAC,CHILE
C11. INTERNATIONAL AND REGIONAL COOPERATION,EDUganda,Information Technology Institute,EGYPT
C11. INTERNATIONAL AND REGIONAL COOPERATION,Pan African e-Network for Telemedicine and Tele-education,African Union Commission,ETHIOPIA
C11. INTERNATIONAL AND REGIONAL COOPERATION,Promoting Connectivity of Internet Broadband in Prokletije Mountain Border Area,Ministry for Information Society and Telecommunications,MONTENEGRO (REPUBLIC OF)
C11. INTERNATIONAL AND REGIONAL COOPERATION,Free Our Voices,Child helpline International ,NETHERLANDS
C11. INTERNATIONAL AND REGIONAL COOPERATION,PATENT PROTECTION INITIATIVE,UAE Ministry of Economy,UNITED ARAB EMIRATES
C1. THE ROLE OF GOVERNMENTS AND ALL STAKEHOLDERS IN THE PROMOTION OF ICTS FOR DEVELOPMENT,Burkina Open Data Initiative,Ministry of Digital Economy ,BURKINA FASO
C1. THE ROLE OF GOVERNMENTS AND ALL STAKEHOLDERS IN THE PROMOTION OF ICTS FOR DEVELOPMENT,Technology towards globalization of graduate education: Graduate Studies Management System (GSMS),Universiti Teknologi Malaysia (UTM),MALAYSIA
C1. THE ROLE OF GOVERNMENTS AND ALL STAKEHOLDERS IN THE PROMOTION OF ICTS FOR DEVELOPMENT,THE DIVIDEND AND HONORARIUM ONLINE APPLICATION,MALAYSIAN COOPERATIVE SOCIETIES COMMISSION,MALAYSIA
C1. THE ROLE OF GOVERNMENTS AND ALL STAKEHOLDERS IN THE PROMOTION OF ICTS FOR DEVELOPMENT,Generalization of Information and Communication Technologies in Education,Ministery of National Education and Professional Training,MOROCCO
C1. THE ROLE OF GOVERNMENTS AND ALL STAKEHOLDERS IN THE PROMOTION OF ICTS FOR DEVELOPMENT,Fight Violence Against Women,YoungInnovations Pvt. Ltd. ,NEPAL (REPUBLIC OF)
C1. THE ROLE OF GOVERNMENTS AND ALL STAKEHOLDERS IN THE PROMOTION OF ICTS FOR DEVELOPMENT,Innovations,Marshal's Office of the Lodzkie Region,POLAND
C1. THE ROLE OF GOVERNMENTS AND ALL STAKEHOLDERS IN THE PROMOTION OF ICTS FOR DEVELOPMENT,Universal Service Fund Program,Communications and Information Technology Commission,SAUDI ARABIA
C1. THE ROLE OF GOVERNMENTS AND ALL STAKEHOLDERS IN THE PROMOTION OF ICTS FOR DEVELOPMENT,Basic skills of Computer Applications and e-Transaction,Yesser,SAUDI ARABIA
C1. THE ROLE OF GOVERNMENTS AND ALL STAKEHOLDERS IN THE PROMOTION OF ICTS FOR DEVELOPMENT,Leqa'a (VIDEO CONFERENCE SYSTEM),MINISTRY OF EDUCATION - MOE,SAUDI ARABIA
C1. THE ROLE OF GOVERNMENTS AND ALL STAKEHOLDERS IN THE PROMOTION OF ICTS FOR DEVELOPMENT,Correspondence Tracking and Electronic Archive Solution,Jeddah Minicipality,SAUDI ARABIA
C1. THE ROLE OF GOVERNMENTS AND ALL STAKEHOLDERS IN THE PROMOTION OF ICTS FOR DEVELOPMENT,The digital portal for touristic accommodation licensing services,Saudi Commission of Tourism & Antiques,SAUDI ARABIA
C1. THE ROLE OF GOVERNMENTS AND ALL STAKEHOLDERS IN THE PROMOTION OF ICTS FOR DEVELOPMENT,Empower Educate Econnect Communities,Siyafunda Community Technology Centre,SOUTH AFRICA
C1. THE ROLE OF GOVERNMENTS AND ALL STAKEHOLDERS IN THE PROMOTION OF ICTS FOR DEVELOPMENT,DNS Entrepreneurship Centre,ICANN ,SWITZERLAND
C1. THE ROLE OF GOVERNMENTS AND ALL STAKEHOLDERS IN THE PROMOTION OF ICTS FOR DEVELOPMENT,Geneva Internet Platform,Geneva Internet Platform,SWITZERLAND
C1. THE ROLE OF GOVERNMENTS AND ALL STAKEHOLDERS IN THE PROMOTION OF ICTS FOR DEVELOPMENT,The Effective Use of Fable: Applying ICT Application in Developing National Broadband Infrastructure toward Thailandâ€™s Digital Economy Initiative,TOT Public Company Limited,THAILAND
C2. INFORMATION AND COMMUNICATION INFRASTRUCTURE,portal website by internet or by MENOS system,ALGERIAN RADIO,ALGERIA
C2. INFORMATION AND COMMUNICATION INFRASTRUCTURE,Trans-Eurasian Information Super Highway,Trans-Eurasian Information Super Highway (TASIM) Project Secretariat,AZERBAIJAN
C2. INFORMATION AND COMMUNICATION INFRASTRUCTURE,Kioscos Vive Digital,Ministry of Information and Communication Technologies,COLOMBIA
C2. INFORMATION AND COMMUNICATION INFRASTRUCTURE,REDONATE,Universidad del Norte,COLOMBIA
C2. INFORMATION AND COMMUNICATION INFRASTRUCTURE,African Internet Exchange System project,African Union Commission,ETHIOPIA
C2. INFORMATION AND COMMUNICATION INFRASTRUCTURE,Introduction of e-Governance in Local Governments,Public Service Development Agency of the Ministry of Justice of Georgia,GEORGIA
C2. INFORMATION AND COMMUNICATION INFRASTRUCTURE,Shiojiri City project,Shiojiri City,JAPAN
C2. INFORMATION AND COMMUNICATION INFRASTRUCTURE,Trans-Eurasia Information Network 4,ByungKyu Kim,KOREA (REP. OF)
C2. INFORMATION AND COMMUNICATION INFRASTRUCTURE,Environmental Monitoring Information System of Kuwait (eMISK),Central Agency for Information Technology,KUWAIT
C2. INFORMATION AND COMMUNICATION INFRASTRUCTURE,Kuwait Information Network,Central Agency for Information Technology,KUWAIT
C2. INFORMATION AND COMMUNICATION INFRASTRUCTURE,Indigenous cellular network infrastructure,Redes por la diversidad; equidad y sustentabilidad AC,MEXICO
C2. INFORMATION AND COMMUNICATION INFRASTRUCTURE,"Mexico Conectado: Internet access in schools, hospitals, government offices and other public places",Ministry of Communications and Transportation ,MEXICO
C2. INFORMATION AND COMMUNICATION INFRASTRUCTURE,Project Wireless Montenegro,Ministry for Information Society and Telecommunications,MONTENEGRO (REPUBLIC OF)
C2. INFORMATION AND COMMUNICATION INFRASTRUCTURE,Inventory of Telecommunications Infrastructure and Broadband Services in Poland,Office of Electronic Communications (UKE),POLAND
C2. INFORMATION AND COMMUNICATION INFRASTRUCTURE,Life Stories,â€ùN.Iorgaâ€ù County Library,ROMANIA
C2. INFORMATION AND COMMUNICATION INFRASTRUCTURE,Provision of universal mobile broadband network in Rwanda using 4G LTE technology,Olleh Rwanda Networks Ltd,RWANDA
C2. INFORMATION AND COMMUNICATION INFRASTRUCTURE,IT Portfolio Management,ARABSAT ,SAUDI ARABIA
C2. INFORMATION AND COMMUNICATION INFRASTRUCTURE,(Video Conference System),Ministry of Education,SAUDI ARABIA
C2. INFORMATION AND COMMUNICATION INFRASTRUCTURE,The National Information Network,National Information Center,SUDAN
C2. INFORMATION AND COMMUNICATION INFRASTRUCTURE,"Togolese women, Let us remain connected",ZOHOU ,TOGO
C2. INFORMATION AND COMMUNICATION INFRASTRUCTURE,Automated Vehicle Management System,Roads and Transportation Authority,UNITED ARAB EMIRATES
C2. INFORMATION AND COMMUNICATION INFRASTRUCTURE,Microsoft 4Afrika: TV White Space (TVWS) Connectivity,Microsoft Corporation,UNITED STATES OF AMERICA
C3. ACCESS TO INFORMATION AND KNOWLEDGE,WBU's Right to Read Campaign,World Blind Union,INTERNATIONAL
C3. ACCESS TO INFORMATION AND KNOWLEDGE,Global Digital Library on Ethics,Globethics.net,INTERNATIONAL
C3. ACCESS TO INFORMATION AND KNOWLEDGE,The Smart City Gran Concepcion: Open Innovation to Improve Municipal Services in Chile,The World Bank,INTERNATIONAL
C3. ACCESS TO INFORMATION AND KNOWLEDGE,National Portal (Reaching the information-have-nots through National Portal),Prime Minister's Office,BANGLADESH
C3. ACCESS TO INFORMATION AND KNOWLEDGE,"Hello 16123, Krishi Call Centre: A fastest and cheapest agricultural solution in Bangladesh",Practical Action Bangladesh,BANGLADESH
C3. ACCESS TO INFORMATION AND KNOWLEDGE,Interregional Cooperation at Scientific Computing in Interdisciplinary Science,"South-West University ""Neofit Rilski""",BULGARIA
C3. ACCESS TO INFORMATION AND KNOWLEDGE,Global Change Research Data Publishing and Repository,Institute of Geographical Sciences and Natural Resources Research; Chinese Academy of Sciences,CHINA
C3. ACCESS TO INFORMATION AND KNOWLEDGE,Convertic,Ministry of Information and Communication Technologies,COLOMBIA
C3. ACCESS TO INFORMATION AND KNOWLEDGE,Infomed. Cuban Health Telematics network,Cuban National Center of Information on Health Sciences,CUBA
C3. ACCESS TO INFORMATION AND KNOWLEDGE,Egyptâ€™s ICT Indicators Portal,Ministry of Communications and Information Technology ,EGYPT
C3. ACCESS TO INFORMATION AND KNOWLEDGE,Adapting Teaching and Learning Materials for the Blind,Adaptive Technology Center for the Blind,ETHIOPIA
C3. ACCESS TO INFORMATION AND KNOWLEDGE,Choose your Profession,Ministry of Sports and Youth Affairs,GEORGIA
C3. ACCESS TO INFORMATION AND KNOWLEDGE,Public Libraries for Local Development,Public Service Development Agency of the Ministry of Justice of Georgia,GEORGIA
C3. ACCESS TO INFORMATION AND KNOWLEDGE,FuturePolicy.org - Your Online Database of Sustainable Policy Solutions,World Future Council,GERMANY
C3. ACCESS TO INFORMATION AND KNOWLEDGE,CaneInfo..all about Sugarcane,Sugarcane Breeding Institute,INDIA
C3. ACCESS TO INFORMATION AND KNOWLEDGE,Dala2 : Managing the Nation,InTech Indonesia,INDONESIA
C3. ACCESS TO INFORMATION AND KNOWLEDGE,Paperboy Strillone - TTS news for visually impaired people,ISF Informatici Senza Frontiere,ITALY
C3. ACCESS TO INFORMATION AND KNOWLEDGE,Legal reference information system of normative acts Â«ADILETÂ»,Republican center of legal information,KAZAKHSTAN
C3. ACCESS TO INFORMATION AND KNOWLEDGE,UNEP Live,United Nations Envrionment Programme,KENYA
C3. ACCESS TO INFORMATION AND KNOWLEDGE,School Libraries Outreach Program,Kenya National Library Service- Kisumu,KENYA
C3. ACCESS TO INFORMATION AND KNOWLEDGE,Information Access Center,National Information Society Agency,KOREA (REP. OF)
C3. ACCESS TO INFORMATION AND KNOWLEDGE,Parliamentary Documents Database project,Central Agency for Information Technology,KUWAIT
C3. ACCESS TO INFORMATION AND KNOWLEDGE,Library website,Central Agency for Information Technology,KUWAIT
C3. ACCESS TO INFORMATION AND KNOWLEDGE,Kuwait Finder,Central Agency for Information Technology,KUWAIT
C3. ACCESS TO INFORMATION AND KNOWLEDGE,Transfer of basic information of the Register of Enterprises to the public in the form of open data.,The Register ogf Enterprises of the Republic of Latvia,LATVIA
C3. ACCESS TO INFORMATION AND KNOWLEDGE,First national-scale eGovernment benchmark â€_Latvia`s e-indexâ€ù,Lattelecom,LATVIA
C3. ACCESS TO INFORMATION AND KNOWLEDGE,My u-Pustaka : Empowering Mobile Technology to Serve Communities Beyond the Walls of the Library,Malaysian Communications and Multimedia Commission,MALAYSIA
C3. ACCESS TO INFORMATION AND KNOWLEDGE,Amakomaya: Android apps for protecting Pregnant mother and infant babies,Yagiten Pvt. Ltd,NEPAL (REPUBLIC OF)
C3. ACCESS TO INFORMATION AND KNOWLEDGE,The National Information Portal,National Center for Statistics and Information,OMAN
C3. ACCESS TO INFORMATION AND KNOWLEDGE,The Consumer Information Centre of UKE,Office of Electronic Communications (UKE),POLAND
C3. ACCESS TO INFORMATION AND KNOWLEDGE,INVESTMENT ATLAS APPLICATION,Saudi Arabian General Investment Authority,SAUDI ARABIA
C3. ACCESS TO INFORMATION AND KNOWLEDGE,Electronic Control System,Majmaah University,SAUDI ARABIA
C3. ACCESS TO INFORMATION AND KNOWLEDGE,Eligibility & Prioritization Mechanism for Housing Subsidy Applications,Ministry of Housing,SAUDI ARABIA
C3. ACCESS TO INFORMATION AND KNOWLEDGE,Safeer Application,Ministry of Education,SAUDI ARABIA
C3. ACCESS TO INFORMATION AND KNOWLEDGE,Rasd Project,Ministry of Education ( MOE ),SAUDI ARABIA
C3. ACCESS TO INFORMATION AND KNOWLEDGE,Business Intelligence,ARABSAT,SAUDI ARABIA
C3. ACCESS TO INFORMATION AND KNOWLEDGE,single sign-on,Saudi Electronic University,SAUDI ARABIA
C3. ACCESS TO INFORMATION AND KNOWLEDGE,Saudi Elictronic University Portal,Saudi Elictronic University,SAUDI ARABIA
C3. ACCESS TO INFORMATION AND KNOWLEDGE,MoFA Portal,Ministry of Foreign Affairs,SAUDI ARABIA
C3. ACCESS TO INFORMATION AND KNOWLEDGE,MAS Portal,Saudi Commission of Tourism & Antiques,SAUDI ARABIA
C3. ACCESS TO INFORMATION AND KNOWLEDGE,Biblioteka++,Public Library Dusan Matic Cuprija,SERBIA
C3. ACCESS TO INFORMATION AND KNOWLEDGE,Star.tt ICT Access Centre,Ministry of Science and Technology,TRINIDAD AND TOBAGO
C3. ACCESS TO INFORMATION AND KNOWLEDGE,Community Knowledge worker,Grameen Foundation-Applab,UGANDA
C3. ACCESS TO INFORMATION AND KNOWLEDGE,Abu Dhabi Blue Carbon Portal,AGEDI,UNITED ARAB EMIRATES
C3. ACCESS TO INFORMATION AND KNOWLEDGE,"National Child Helpline, Tanzania",C-Sema,UNITED REPUBLIC OF TANZANIA
C3. ACCESS TO INFORMATION AND KNOWLEDGE,"Comprende: ""A digital Accesible Media Library""",Dicapta,UNITED STATES OF AMERICA
C4. CAPACITY BUILDING,African School on Internet Governance,Association for Progressive Communications (APC),INTERNATIONAL
C4. CAPACITY BUILDING,Teachers Portal for Empowerment,Access to Information (a2i) Programme; Prime Minister's Office,BANGLADESH
C4. CAPACITY BUILDING,TIC for digital inclusion,NGO Ayni Bolivia,BOLIVIA
C4. CAPACITY BUILDING,Materials education communication to pupils in Douala-Cameroon,Health and Environment Program (HEP),CAMEROON
C4. CAPACITY BUILDING,PWDsâ€™ Training and Qualifying for Employment,Ministry of Communications and Information Technology,EGYPT
C4. CAPACITY BUILDING,Education Development for Universities in Egypt,Information Technology Institute (ITI) Egyptian Ministry of Communications and Information Technology ,EGYPT
